transaction_id,datetime,customer_id,store_id,item_id,category,quantity,price_base,sum_total,is_refund
TXN-0002809,1/7/2023 21:18,CUST-816183,3,ce46e5dbd6c0,Home,13.05,69.9,912.2,FALSE
TXN-0003270,1/8/2023 11:36,CUST-874750,7,14849c8f909c,Beauty,1.004,205,205.82,FALSE
TXN-0000852,1/8/2023 12:34,CUST-418511,8,6402808de4c8,Clothing,3.013,229.9,692.69,FALSE
TXN-0003083,1/8/2023 12:52,CUST-306186,8,b30e7bbda3b5,Grocery,1.004,718.5,721.37,FALSE
TXN-0002807,1/8/2023 15:13,CUST-276278,9,7b2dfcdbfe07,Clothing,1.004,212,212.85,FALSE
TXN-0003568,1/8/2023 15:36,CUST-677843,5,581d50bf0c38,Grocery,75.329,73.41,5529.9,FALSE
TXN-0001567,1/8/2023 16:01,CUST-569856,9,7f8b47ebc550,Electronics,1.004,62.9,63.15,FALSE
TXN-0002406,1/8/2023 18:02,CUST-362297,7,e85e6aab0d15,Grocery,16.07,259.12,4164.06,FALSE
TXN-0002107,1/9/2023 12:14,CUST-261156,6,5dde513bdace,Home,3.015,849.9,2562.45,FALSE
TXN-0003008,1/9/2023 13:22,CUST-747098,4,10a5bd97291b,Sports,1.296,599.9,777.47,FALSE
TXN-0005000,1/9/2023 13:32,CUST-912389,1,5cb9ed8af2dc,Electronics,6.03,33.9,204.42,FALSE
TXN-0001339,1/9/2023 13:38,CUST-254930,1,67a5b2835977,Beauty,1.005,527.92,530.56,FALSE
TXN-0002871,1/9/2023 14:45,CUST-481131,6,05f468be3e2f,Grocery,11.054,85.53,945.45,FALSE
TXN-0001154,1/9/2023 19:06,CUST-347299,10,ef24ba162f8a,Electronics,1.005,99.9,100.4,FALSE
TXN-0004958,1/9/2023 19:48,CUST-478115,9,896e568fcf1d,Grocery,1.005,76.9,77.28,FALSE
TXN-0002213,1/10/2023 8:52,CUST-671525,7,865a5f2dbf2e,Clothing,140.767,59.08,8316.51,FALSE
TXN-0002538,1/10/2023 10:33,CUST-632509,5,67fb932c6eac,Home,3.016,59.9,180.66,FALSE
TXN-0001341,1/10/2023 11:10,CUST-706417,10,a15caba06a0a,Grocery,2.011,122.47,246.29,FALSE
TXN-0003429,1/10/2023 12:11,CUST-977515,1,8ce6abf60356,Home,2.194,1031.05,2262.12,FALSE
TXN-0000066,1/10/2023 12:12,CUST-187815,8,0033a62250ac,Clothing,1.005,129.9,130.55,FALSE
TXN-0004870,1/10/2023 12:40,CUST-813239,6,6b9ed41cf366,Grocery,2.011,299.9,603.1,FALSE
TXN-0001552,1/10/2023 14:40,CUST-416107,1,a99bc1ab10f4,Sports,12.066,213,2570.06,FALSE
TXN-0000577,1/10/2023 15:30,CUST-201887,6,59841717c63a,Sports,12.066,79.88,963.83,FALSE
TXN-0003453,1/10/2023 16:07,CUST-432720,10,c906a413a038,Beauty,5.027,25.01,125.73,FALSE
TXN-0002995,1/10/2023 16:43,CUST-330136,1,b178700122d3,Electronics,21.605,229.9,4966.99,FALSE
TXN-0004395,1/10/2023 16:48,CUST-400990,6,f769928be355,Clothing,1.005,74,74.37,FALSE
TXN-0004596,1/10/2023 17:24,CUST-576791,3,d1b115bc335c,Home,2.011,100.94,202.99,FALSE
TXN-0002109,1/10/2023 18:21,CUST-987284,8,9dfe7718f44e,Beauty,5.027,94.38,474.45,FALSE
TXN-0003718,1/10/2023 18:30,CUST-135572,6,af90c3fdcba1,Beauty,1.005,38.9,39.09,FALSE
TXN-0003835,1/10/2023 20:43,CUST-927484,9,b9cff7a0b90a,Clothing,1.005,249.9,251.15,FALSE
TXN-0001810,1/10/2023 21:36,CUST-270228,2,e6001574ce29,Electronics,1.325,751.34,995.53,FALSE
TXN-0000741,1/11/2023 8:05,CUST-211306,5,ff8e822f1041,Sports,12.364,69.9,864.24,TRUE
TXN-0004606,1/11/2023 11:10,CUST-817084,9,592b24ebf2c9,Home,5.03,99.9,502.5,FALSE
TXN-0002101,1/11/2023 12:24,CUST-703221,10,03edeeba2ce2,Home,9.054,61.98,561.17,FALSE
TXN-0004851,1/11/2023 12:28,CUST-666443,3,0bf1baddcf34,Beauty,65.392,19.74,1290.84,FALSE
TXN-0001101,1/11/2023 13:07,CUST-100947,6,3fda23a187dd,Clothing,2.789,99.9,278.62,FALSE
TXN-0003066,1/11/2023 13:37,CUST-145501,8,15c1967eba7d,Grocery,1.006,79.9,80.38,FALSE
TXN-0004765,1/11/2023 13:47,CUST-146512,1,de7c7a547af4,Home,2.012,34.58,69.57,FALSE
TXN-0000781,1/11/2023 13:54,CUST-211339,10,6138709790a5,Grocery,5.03,349.9,1760,FALSE
TXN-0003117,1/11/2023 14:18,CUST-901347,10,127b7ac2fd75,Beauty,0.533,649,345.92,FALSE
TXN-0001643,1/11/2023 17:41,CUST-616720,4,cb00e7ea3438,Grocery,22.133,52.49,1161.76,FALSE
TXN-0002757,1/11/2023 18:33,CUST-800856,9,325b9128ddfa,Sports,8.048,42.4,341.24,FALSE
TXN-0001969,1/11/2023 20:52,CUST-674842,6,240a5f101a22,Electronics,8.048,47.31,380.75,FALSE
TXN-0004138,1/11/2023 22:41,CUST-818009,8,ef6c6fc6b982,Electronics,1.006,159.9,160.86,FALSE
TXN-0000601,1/12/2023 7:29,CUST-272879,5,581d50bf0c38,Grocery,75.493,73.41,5541.94,FALSE
TXN-0004603,1/12/2023 8:08,CUST-991657,3,2bf6bca062e8,Grocery,16.105,57.51,926.2,FALSE
TXN-0000619,1/12/2023 10:32,CUST-122477,5,e6001574ce29,Electronics,1.327,751.34,997.03,FALSE
TXN-0003787,1/12/2023 11:25,CUST-357642,2,002f51c34a7a,Beauty,6.039,79.9,482.52,FALSE
TXN-0001570,1/12/2023 11:36,CUST-965781,7,cfdf1a4744c0,Electronics,1.007,99.9,100.6,FALSE
TXN-0002045,1/12/2023 11:37,CUST-636842,4,6863d0f6243a,Beauty,5.033,99.9,502.8,FALSE
TXN-0003403,1/12/2023 12:49,CUST-111268,9,2716ebe9a4a0,Sports,2.013,159,320.07,FALSE
TXN-0001698,1/12/2023 14:13,CUST-507051,7,9395fe696047,Clothing,1.007,129.9,130.81,FALSE
TXN-0004258,1/12/2023 15:18,CUST-493958,2,08c5fb58831e,Home,1.007,1299.9,1309,FALSE
TXN-0002388,1/12/2023 17:32,CUST-379179,8,20230e5899c3,Home,4.026,74.9,301.55,FALSE
TXN-0004663,1/12/2023 18:26,CUST-304022,4,fe9959833ff8,Sports,5.033,75,377.48,FALSE
TXN-0000896,1/12/2023 21:06,CUST-360821,5,7dba658d647c,Sports,2.013,459.43,924.83,FALSE
TXN-0001464,1/13/2023 5:56,CUST-872390,6,f20ab5dd218b,Electronics,1.18,179.9,212.28,FALSE
TXN-0004848,1/13/2023 9:30,CUST-825968,5,f4eda90fa45c,Beauty,11.078,299.9,3322.29,FALSE
TXN-0002688,1/13/2023 10:10,CUST-195053,1,ebd2469bb1da,Home,0.399,459.9,183.5,FALSE
TXN-0004830,1/13/2023 11:30,CUST-103808,8,0d46d5000d19,Electronics,32.228,128.87,4153.22,FALSE
TXN-0004546,1/13/2023 12:18,CUST-877330,8,7c9ad6fd5146,Clothing,2.014,59.9,120.64,FALSE
TXN-0000437,1/13/2023 14:05,CUST-783895,1,e6579c993ebc,Electronics,5.733,375.62,2153.43,FALSE
TXN-0000243,1/13/2023 14:53,CUST-143527,4,ad6427ee5b69,Grocery,3.021,124.6,376.42,FALSE
TXN-0000222,1/13/2023 15:34,CUST-982507,9,432c160c926d,Electronics,279.4,119.16,33293.3,FALSE
TXN-0004263,1/13/2023 16:40,CUST-946098,10,f480ea4e9c30,Sports,2.014,44.9,90.43,FALSE
TXN-0002410,1/13/2023 16:47,CUST-576504,8,1b78a586a7ff,Grocery,1.007,59.5,59.92,FALSE
TXN-0003020,1/13/2023 19:13,CUST-319014,2,1b9024dcec78,Clothing,2.014,109.9,221.34,FALSE
TXN-0004320,1/13/2023 19:47,CUST-232203,3,ee15d56e2688,Grocery,3.021,29.63,89.51,FALSE
TXN-0004524,1/13/2023 19:52,CUST-198764,7,789e371fece0,Clothing,26.185,148.98,3901.04,FALSE
TXN-0003217,1/13/2023 20:04,CUST-448558,6,9b561ac30434,Grocery,6.043,42.4,256.22,FALSE
TXN-0002187,1/14/2023 9:42,CUST-731354,10,55701a5d29af,Grocery,20.153,78.94,1590.88,FALSE
TXN-0003657,1/14/2023 11:00,CUST-418187,4,759ffe3cb22c,Electronics,6.046,76.9,464.94,FALSE
TXN-0000842,1/14/2023 11:58,CUST-443604,5,a1666fae25ee,Clothing,1.008,121.67,122.64,FALSE
TXN-0000100,1/14/2023 13:19,CUST-110216,8,8c270c4efbfe,Sports,5.038,209.9,1057.48,FALSE
TXN-0000416,1/14/2023 13:57,CUST-463577,2,3e1f8d799d29,Beauty,5.061,459.9,2327.55,FALSE
TXN-0001661,1/14/2023 14:14,CUST-119282,1,86e88782e693,Clothing,2.015,299.9,604.3,FALSE
TXN-0001393,1/14/2023 16:07,CUST-410785,8,a2644d41d880,Beauty,2.015,64.9,130.77,FALSE
TXN-0004109,1/14/2023 22:09,CUST-278957,1,1d92c3f04a69,Clothing,2.015,59.9,120.7,FALSE
TXN-0004876,1/15/2023 7:13,CUST-759739,1,5a5c32407744,Electronics,3.025,99.9,302.2,FALSE
TXN-0001634,1/15/2023 9:32,CUST-911785,3,4006d7dc01f2,Clothing,2.016,155,312.48,FALSE
TXN-0002996,1/15/2023 11:08,CUST-129405,6,0cfce102f3a0,Electronics,5.041,32.49,163.78,FALSE
TXN-0003190,1/15/2023 11:49,CUST-996344,3,1419f6dfcca9,Beauty,3.025,27.9,84.4,FALSE
TXN-0000137,1/15/2023 13:46,CUST-670905,2,b5ab2b2599c3,Electronics,14.51,359.9,5222.15,FALSE
TXN-0004498,1/15/2023 15:25,CUST-809733,6,7106d83524a4,Electronics,3.025,139.9,423.2,FALSE
TXN-0003742,1/15/2023 15:51,CUST-341554,1,d1d9be55a3ab,Sports,3.025,48.23,145.9,FALSE
TXN-0004973,1/15/2023 15:52,CUST-484360,2,a2c3052e27c3,Grocery,3.025,89.9,271.95,FALSE
TXN-0003389,1/15/2023 17:23,CUST-416788,8,ed0ac2a053e1,Clothing,1.008,148,149.18,FALSE
TXN-0003282,1/15/2023 19:03,CUST-883647,5,f045f626c390,Grocery,0.788,669,527.17,FALSE
TXN-0000048,1/15/2023 19:55,CUST-837320,3,42329fdaf1e2,Home,1.008,1307.03,1317.49,FALSE
TXN-0004371,1/15/2023 22:11,CUST-802952,4,e616c715ad80,Grocery,1.008,109.9,110.78,FALSE
TXN-0004114,1/15/2023 22:48,CUST-625031,3,ba60ef413323,Clothing,24.197,19.86,480.55,FALSE
TXN-0003276,1/16/2023 2:51,CUST-679366,7,9463b6777824,Electronics,1.009,33.9,34.21,FALSE
TXN-0004144,1/16/2023 10:48,CUST-640118,5,9c588d73884f,Home,1.009,93,93.84,FALSE
TXN-0000661,1/16/2023 11:23,CUST-203856,1,ef09dbc9fa66,Clothing,2.018,54.9,110.79,FALSE
TXN-0003473,1/16/2023 13:35,CUST-986883,4,e31147a790d2,Home,2.018,89.9,181.42,FALSE
TXN-0001222,1/16/2023 13:43,CUST-901468,9,7c4fd59917e9,Grocery,11.096,548.92,6090.82,FALSE
TXN-0004777,1/16/2023 14:06,CUST-980850,9,df25901e07ef,Electronics,2.018,69.9,141.06,FALSE
TXN-0003708,1/17/2023 7:19,CUST-956951,7,5f00a5c55f8f,Beauty,5.047,189.9,958.43,FALSE
TXN-0000149,1/17/2023 9:00,CUST-620830,10,240a5f101a22,Home,8.075,47.31,382.03,FALSE
TXN-0000578,1/17/2023 10:08,CUST-705665,8,ad19922d8e8f,Grocery,1.009,199.9,201.7,FALSE
TXN-0001179,1/17/2023 11:43,CUST-836718,3,ec81750d565a,Home,2.019,41.9,84.6,FALSE
TXN-0001112,1/17/2023 12:30,CUST-232288,5,53ddb3673548,Sports,2.019,119.9,242.08,FALSE
TXN-0003301,1/17/2023 16:13,CUST-419161,1,737b797523fb,Beauty,3.028,279.9,847.54,FALSE
TXN-0001776,1/17/2023 19:19,CUST-995239,8,4da5748667ae,Sports,1.009,194,195.75,FALSE
TXN-0002253,1/18/2023 8:53,CUST-725762,7,0c52e8897e4e,Home,3.03,49.9,151.2,FALSE
TXN-0000664,1/18/2023 8:55,CUST-815062,6,aff65297051a,Grocery,3.03,99.9,302.7,FALSE
TXN-0000905,1/18/2023 10:16,CUST-723420,5,779a6c476c59,Beauty,3.03,24.65,74.69,FALSE
TXN-0002203,1/18/2023 10:22,CUST-238957,2,69a3bd4a552c,Beauty,5.049,104.84,529.34,FALSE
TXN-0000958,1/18/2023 10:38,CUST-157440,8,1e71b6b39a7e,Electronics,11.108,209.5,2327.13,FALSE
TXN-0004005,1/18/2023 10:52,CUST-393256,5,1a3575595d58,Grocery,4.841,399.89,1935.87,FALSE
TXN-0000355,1/18/2023 11:39,CUST-565816,5,099b01d8b1a8,Sports,20.197,149.9,3027.53,FALSE
TXN-0003305,1/18/2023 12:25,CUST-485597,2,8a8b2c76c282,Electronics,1.01,174,175.74,FALSE
TXN-0001944,1/18/2023 13:14,CUST-642576,5,cdfc8b5fb303,Grocery,1.01,119.9,121.1,FALSE
TXN-0000794,1/18/2023 13:42,CUST-993596,4,9a0be9c37945,Clothing,1.01,49.9,50.4,FALSE
TXN-0001381,1/18/2023 14:22,CUST-198881,3,a2c9734be732,Electronics,57.928,179.18,10379.54,FALSE
TXN-0001956,1/18/2023 15:47,CUST-794741,6,419f29a0d38c,Electronics,4.039,59.9,241.94,FALSE
TXN-0001559,1/18/2023 17:58,CUST-460631,1,a815fa2795b1,Home,1.01,219.9,222.1,FALSE
TXN-0000266,1/18/2023 20:13,CUST-451220,9,dfe0d6d2cc0c,Beauty,0.788,1299.9,1024.32,FALSE
TXN-0004193,1/18/2023 20:33,CUST-865160,6,e269631dcb39,Home,13.128,15.96,209.52,FALSE
TXN-0001774,1/19/2023 6:17,CUST-192247,9,631a76786904,Beauty,5.052,47.94,242.19,FALSE
TXN-0003237,1/19/2023 10:26,CUST-225901,5,f8706f548680,Electronics,1.01,139.9,141.3,FALSE
TXN-0002214,1/19/2023 11:41,CUST-624469,4,61cb159b05df,Grocery,2.021,59.07,119.38,FALSE
TXN-0003753,1/19/2023 11:49,CUST-472632,9,74bebff34bca,Beauty,2.021,49.5,100.04,FALSE
TXN-0002103,1/19/2023 12:30,CUST-485064,1,c76cc4647d99,Clothing,2.021,83.9,169.56,FALSE
TXN-0004510,1/19/2023 12:48,CUST-861044,5,e5959358c327,Sports,1.01,119.8,121,FALSE
TXN-0002758,1/19/2023 14:31,CUST-211092,1,f769928be355,Beauty,1.01,74,74.74,FALSE
TXN-0003209,1/19/2023 16:26,CUST-807512,10,716cd171d8e9,Electronics,4.042,52.37,211.68,FALSE
TXN-0002192,1/20/2023 2:35,CUST-437735,1,b84f07d816af,Home,2.022,89,179.96,FALSE
TXN-0002753,1/20/2023 9:33,CUST-450094,1,662689be2318,Clothing,4.044,30,121.32,FALSE
TXN-0003883,1/20/2023 12:55,CUST-310942,8,f271054fd2a1,Grocery,1.296,368.95,478.16,FALSE
TXN-0002027,1/20/2023 13:44,CUST-283784,3,de63a6a1101d,Sports,2.022,69.9,141.34,FALSE
TXN-0002487,1/20/2023 14:36,CUST-362755,10,716cd171d8e9,Grocery,4.044,52.37,211.78,FALSE
TXN-0003411,1/20/2023 16:29,CUST-928583,10,1d102a19bf77,Home,4.044,20.21,81.73,FALSE
TXN-0002000,1/20/2023 16:39,CUST-473095,6,61cb159b05df,Clothing,2.022,59.07,119.44,FALSE
TXN-0002763,1/20/2023 19:10,CUST-720017,10,70aa992ec5d5,Clothing,13.142,21.9,287.81,FALSE
TXN-0003797,1/20/2023 20:18,CUST-557099,4,c8665a312620,Sports,1.011,237.35,239.96,FALSE
TXN-0004362,1/20/2023 21:12,CUST-700210,1,2bcee41bfac8,Grocery,31.34,34.88,1093.14,FALSE
TXN-0004691,1/21/2023 10:09,CUST-401269,7,c205adadd4b1,Grocery,2.023,27.92,56.48,FALSE
TXN-0003824,1/21/2023 11:10,CUST-576342,5,9bc1edb79160,Sports,0.273,699.89,191.07,FALSE
TXN-0004906,1/21/2023 11:41,CUST-138337,2,7ba8dba2f158,Beauty,1.012,79.9,80.86,FALSE
TXN-0001254,1/21/2023 11:43,CUST-283466,4,55ec2011b5ee,Home,3.035,69.9,212.15,FALSE
TXN-0001758,1/21/2023 12:14,CUST-387193,8,19f2510e776d,Home,2.023,157.67,318.97,FALSE
TXN-0002130,1/21/2023 12:38,CUST-462457,5,5db78f2812c6,Home,5.058,79.83,403.78,FALSE
TXN-0001644,1/21/2023 15:29,CUST-956538,2,803cf575a695,Grocery,1.012,119.9,121.34,FALSE
TXN-0004866,1/21/2023 15:46,CUST-501607,10,4049b65117d5,Sports,1.012,149.9,151.7,FALSE
TXN-0004732,1/21/2023 16:08,CUST-412465,4,4adf86b13fd1,Grocery,12.138,74.42,903.31,FALSE
TXN-0003871,1/21/2023 16:58,CUST-965006,8,e08ca5bc7ebd,Sports,1.012,69.9,70.74,FALSE
TXN-0000316,1/21/2023 16:59,CUST-638443,7,2ddab65d9ebf,Home,1.012,64,64.77,FALSE
TXN-0003710,1/21/2023 17:20,CUST-880383,9,9cea803407be,Home,1.012,54.9,55.56,FALSE
TXN-0000606,1/21/2023 17:27,CUST-381921,10,4f0bb8e3a34f,Beauty,1.012,49.9,50.5,FALSE
